celltype,tf,pval,pval_adj,mean_difference
cMono,ALX1,6.411294985155933e-38,8.709220866315138e-38,-0.00013232990667054554
cMono,ALX3,0.3080985304991247,0.3148991698479538,0.0003990899540482096
cMono,ALX4,0.16538473702800516,0.1708387438747095,0.00041339438848561616
cMono,ANHX,5.501031698526407e-76,9.929828404967159e-76,-0.00043518702343813866
cMono,AR,1.1144553122121622e-96,2.6316960255120906e-96,-0.0011932140905504672
cMono,ARGFX,1.5125487482935412e-29,1.9501990519765393e-29,-0.0004942630506403027
cMono,ARID3A,1.12086510273108e-115,3.7420731486163014e-115,-0.0004961046246223537
cMono,ARID3B,1.499048752195099e-07,1.663007209466438e-07,3.9852914484137664e-05
cMono,ARID5A,1.0891546057945876e-161,9.205949644216157e-161,0.0012965565989538595
cMono,ARID5B,5.694077098595162e-93,1.2660108789152083e-92,-0.0002945420949921544
cMono,ARNT,2.845953916304746e-101,7.268443455310682e-101,-0.0009817777783196896
cMono,ARNT2,3.436412320171224e-55,5.213360571199934e-55,0.00021790841070992717
cMono,ARNTL,2.162815817633116e-38,2.941760978006728e-38,2.511498134889767e-05
cMono,ARX,1.5324630353117647e-08,1.7197820153920228e-08,-6.500548873886874e-05
cMono,ASCL1,1.304416020765057e-175,1.4321681052729752e-174,-0.0017723231263793299
cMono,ASCL2,7.29646465945751e-89,1.5448777062270872e-88,-0.0014232856834661134
cMono,ATF1,6.922669711156991e-52,1.0183208898317949e-51,-3.0675435617919314e-05
cMono,ATF2,6.004149508282954e-63,9.703215821428446e-63,0.0002753583165844842
cMono,ATF3,3.2096556985025547e-29,4.1283614962623444e-29,-0.00011887521331577222
cMono,ATF4,1.360388498331373e-195,2.299704366226845e-194,-0.0030793771474299514
cMono,ATF6,1.0421603721591742e-07,1.1634180255236063e-07,-0.00025091261424103894
cMono,ATF6B,0.7011444784978244,0.7084619256168718,-0.0004939941168057849
cMono,ATF7,5.235750555492788e-37,7.076236474111446e-37,-6.092280639408143e-05
cMono,ATOH1,1.1648099172885188e-119,4.205161226821263e-119,-0.0008877076451064558
cMono,ATOH7,1.7457435747195274e-38,2.3781298803413464e-38,0.00022528724834070934
cMono,BACH1,1.5638469750670788e-18,1.8969214446998165e-18,-6.68415199161082e-05
cMono,BACH2,1.127505913239519e-177,1.3052106495653127e-176,0.016381555633550593
cMono,BARHL1,4.657340591072448e-61,7.40308616342113e-61,-0.0004882924595742931
cMono,BARHL2,4.0445216801980245e-110,1.2236976106280956e-109,-0.0007798418324443442
cMono,BARX1,1.586465775885334e-153,1.2155295333222163e-152,0.0007220182590680678
cMono,BARX2,2.3949283674167937e-42,3.334115962482203e-42,0.00035716744914490034
cMono,BATF,3.630154374178128e-203,7.029298924544919e-202,0.004731229997114547
cMono,BATF3,4.0412984688411464e-234,1.388381570747039e-232,-0.0032964806026784532
cMono,BBX,2.3364105227878027e-78,4.30497786638237e-78,-0.0012553800812542537
