,celltype,tf,pval,pval_adj,mean_difference,Correlation,corr_padj
0,cMono,ALX1,6.411294985155933e-38,8.709220866315138e-38,-0.00013232990667054554,0.0,0.0
1,cMono,ALX3,0.3080985304991247,0.3148991698479538,0.0003990899540482096,-0.0038809631433397,0.5926678943124277
2,cMono,ALX4,0.16538473702800516,0.1708387438747095,0.00041339438848561616,0.0019373846427725,0.8158736671025827
3,cMono,ANHX,5.501031698526407e-76,9.929828404967159e-76,-0.00043518702343813866,0.0,0.0
4,cMono,AR,1.1144553122121622e-96,2.6316960255120906e-96,-0.0011932140905504672,-0.0003585206842907,0.9658326710178748
5,cMono,ARGFX,1.5125487482935412e-29,1.9501990519765393e-29,-0.0004942630506403027,-0.0038162689526718,0.596931332820422
6,cMono,ARID3A,1.12086510273108e-115,3.7420731486163014e-115,-0.0004961046246223537,-0.02914390854487,9.227327414337987e-08
7,cMono,ARID3B,1.499048752195099e-07,1.663007209466438e-07,3.9852914484137664e-05,-0.0148223323060996,0.0104683703412812
8,cMono,ARID5A,1.0891546057945876e-161,9.205949644216157e-161,0.0012965565989538595,-0.046262260397261,3.5254881753387575e-18
9,cMono,ARID5B,5.694077098595162e-93,1.2660108789152083e-92,-0.0002945420949921544,0.0662540831014956,2.6273276934280382e-36
10,cMono,ARNT,2.845953916304746e-101,7.268443455310682e-101,-0.0009817777783196896,-0.0087501406794797,0.1618573087531225
11,cMono,ARNT2,3.436412320171224e-55,5.213360571199934e-55,0.00021790841070992717,-0.0026009952643674,0.7341959134952817
12,cMono,ARNTL,2.162815817633116e-38,2.941760978006728e-38,2.511498134889767e-05,0.0201181648470218,0.0003547307811473
13,cMono,ARX,1.5324630353117647e-08,1.7197820153920228e-08,-6.500548873886874e-05,0.0,0.0
14,cMono,ASCL1,1.304416020765057e-175,1.4321681052729752e-174,-0.0017723231263793299,0.0,0.0
15,cMono,ASCL2,7.29646465945751e-89,1.5448777062270872e-88,-0.0014232856834661134,-0.0369995038631811,6.274484465711998e-12
16,cMono,ATF1,6.922669711156991e-52,1.0183208898317949e-51,-3.0675435617919314e-05,-0.0184725813824547,0.0010898552836028
17,cMono,ATF2,6.004149508282954e-63,9.703215821428446e-63,0.0002753583165844842,0.0212563443917909,0.0001470450224768
18,cMono,ATF3,3.2096556985025547e-29,4.1283614962623444e-29,-0.00011887521331577222,-0.012869796576197,0.0287507798338393
19,cMono,ATF4,1.360388498331373e-195,2.299704366226845e-194,-0.0030793771474299514,0.0017785728993728,0.8319681801731713
20,cMono,ATF6,1.0421603721591742e-07,1.1634180255236063e-07,-0.00025091261424103894,0.0083705796197,0.1821820925607094
21,cMono,ATF6B,0.7011444784978244,0.7084619256168718,-0.0004939941168057849,0.0481979293640217,1.2700115104238868e-19
22,cMono,ATF7,5.235750555492788e-37,7.076236474111446e-37,-6.092280639408143e-05,0.0249822843871324,5.802932472494739e-06
23,cMono,ATOH1,1.1648099172885188e-119,4.205161226821263e-119,-0.0008877076451064558,0.0,0.0
24,cMono,ATOH7,1.7457435747195274e-38,2.3781298803413464e-38,0.00022528724834070934,7.569415515457103e-05,0.995507148078478
25,cMono,BACH1,1.5638469750670788e-18,1.8969214446998165e-18,-6.68415199161082e-05,0.0505350987205257,1.834496049917168e-21
26,cMono,BACH2,1.127505913239519e-177,1.3052106495653127e-176,0.016381555633550593,-0.1063633070399749,6.419241951201346e-93
27,cMono,BARHL1,4.657340591072448e-61,7.40308616342113e-61,-0.0004882924595742931,0.0,0.0
28,cMono,BARHL2,4.0445216801980245e-110,1.2236976106280956e-109,-0.0007798418324443442,0.0,0.0
29,cMono,BARX1,1.586465775885334e-153,1.2155295333222163e-152,0.0007220182590680678,0.0,0.0
30,cMono,BARX2,2.3949283674167937e-42,3.334115962482203e-42,0.00035716744914490034,0.0074505733834464,0.2476020646386043
31,cMono,BATF,3.630154374178128e-203,7.029298924544919e-202,0.004731229997114547,0.033666091786476,4.890332560903309e-10
32,cMono,BATF3,4.0412984688411464e-234,1.388381570747039e-232,-0.0032964806026784532,0.0361633476355089,1.910997137461139e-11
33,cMono,BBX,2.3364105227878027e-78,4.30497786638237e-78,-0.0012553800812542537,0.0397358620084265,1.346191004511106e-13
34,cMono,BCL11A,3.5620691446651756e-35,4.7598540013405423e-35,-0.007656260958718741,0.0054328048003076,0.4330135354182166
35,cMono,BCL11B,1.4210583494589763e-84,2.844787861228966e-84,0.0007449048124146193,-0.2652168549012442,2.05e-321
36,cMono,BCL6,5.531652507712292e-05,5.980923777374204e-05,5.480859834128965e-05,-0.0336528432823778,4.935083536344456e-10
37,cMono,BCL6B,2.701027698052958e-64,4.432348996034515e-64,0.0014301944168736633,0.0,0.0
38,cMono,BHLHA15,3.58010162280454e-124,1.4174008283594182e-123,-0.0010779418747717193,0.0083863915460282,0.1814252025763979
39,cMono,BHLHE22,4.058472662884819e-74,7.239988921226686e-74,0.0003057786588038084,0.0,0.0
40,cMono,BHLHE23,1.61800988401042e-64,2.6592292075171255e-64,-0.00011114364122143984,0.0,0.0
41,cMono,BHLHE40,7.00720097281209e-63,1.1307074297037692e-62,-0.0006114259824775564,0.0110280871556641,0.0672231386163906
42,cMono,BHLHE41,5.831998656947146e-23,7.205427574998505e-23,-0.00018888446894049782,-0.0143207306644756,0.0138262972785158
43,cMono,BORCS8-MEF2B,1.428852829845282e-28,1.8202491193603172e-28,-0.0005787156013303987,0.0,0.0
44,cMono,BSX,3.796451657846461e-107,1.0868873697866884e-106,-0.0007791630221920046,0.0,0.0
45,cMono,CDC5L,2.4500404922350852e-80,4.642870327812039e-80,-0.000837496372008592,-0.0134523537566676,0.0215173472951352
46,cMono,CDX1,2.215522604289069e-213,5.243403496817463e-212,0.0007920364032769833,0.0,0.0
47,cMono,CDX2,4.060373674216732e-58,6.2853168067453774e-58,-0.0001981175792882331,0.0,0.0
48,cMono,CDX4,7.251283637219115e-28,9.19359175433138e-28,0.0003743226309529373,0.0,0.0
