tf,pval,padj,mean_difference
ALX1,0.0,0.0,-0.002894322040480432
ALX3,1.2548613865126686e-85,1.3364273766359922e-82,-5.874994468210021e-05
ALX4,7.553122877936314e-62,8.044075865002174e-59,6.917693888226426e-05
ANHX,0.0,0.0,-0.002986817261588847
AR,0.0,0.0,-0.004540944369541922
ARGFX,0.0,0.0,-0.0035356829960993853
ARID3A,0.0,0.0,-0.003138479633237815
ARID3B,0.0,0.0,-0.0011392603490912659
ARID5A,0.0,0.0,0.0034466291190925064
ARID5B,0.0,0.0,-0.0025750098228116106
ARNT,0.0,0.0,-0.003243095733191738
ARNT2,0.0,0.0,0.0024142679991991656
ARNTL,0.0,0.0,0.0008532355532528402
ARX,0.0,0.0,-0.00258252893597178
ASCL1,0.0,0.0,-0.005128477909292425
ASCL2,0.0,0.0,-0.0058240634695547605
ATF1,0.0,0.0,-0.001817898601739372
ATF2,0.0,0.0,0.004917054116839958
ATF3,2.4949248462356916e-247,2.6570949612410116e-244,0.0038739686255896966
ATF4,4.759444318216494e-278,5.068808198900566e-275,-0.003096357651863002
ATF6,4.0418723883009694e-39,4.304594093540532e-36,-7.44977186250273e-05
ATF6B,0.034302132581239146,1.0,-0.0008872623105551092
ATF7,0.0,0.0,0.00954162082241039
ATOH1,0.0,0.0,-0.0031735111238305885
ATOH7,1.8196172784787508e-09,1.9378924015798694e-06,-0.0001769039089005776
BACH1,2.5219962052470857e-266,2.6859259585881463e-263,0.0011025867189507071
BACH2,0.0,0.0,0.0559754437425502
BARHL1,0.0,0.0,-0.003395554369037596
BARHL2,0.0,0.0,-0.004770324565652134
BARX1,0.0003528332734934539,0.3757674362705284,2.230574564302673e-05
BARX2,3.867969228151346e-79,4.1193872279811836e-76,-0.00019248008011093706
BATF,0.0,0.0,0.014937572352594075
BATF3,0.0,0.0,-0.00130846065619189
BBX,0.0,0.0,-0.006050666922417722
BCL11A,6.95918919019722e-122,7.41153648756004e-119,0.0005519827126631016
BCL11B,5.074413783520224e-18,5.404250679449038e-15,0.0006977983150195481
BCL6,0.0,0.0,-0.0013872832498897647
BCL6B,0.0,0.0,0.007467563503764901
BHLHA15,0.0,0.0,-0.004293736501202343
BHLHE22,1.242280058232614e-15,1.323028262017734e-12,0.00036758800354813994
BHLHE23,0.0,0.0,-0.0016819443773144266
BHLHE40,1.7400213629093916e-13,1.853122751498502e-10,-0.0007113620077880134
BHLHE41,0.0,0.0,0.004927307719978846
BORCS8-MEF2B,0.0,0.0,-0.004467852537512143
BSX,0.0,0.0,-0.004004470644869126
CDC5L,0.0,0.0,-0.0039946043586638665
CDX1,0.0,0.0,0.001347434401365342
CDX2,0.0,0.0,-0.002364641809510482
CDX4,2.9425928870332935e-271,3.1338614246904574e-268,-0.0006961228085475002
CEBPA,0.0,0.0,0.10502520187464798
CEBPB,0.0,0.0,0.10954219731004977
CEBPD,0.0,0.0,0.10297331161055434
CEBPE,0.0,0.0,0.044404756773985476
CEBPG,0.0,0.0,0.07727462951588415
CENPB,0.0,0.0,-0.006237072204078681
CENPBD1,0.0,0.0,-0.0015943558286473994
CIC,0.0,0.0,0.0024071132058665727
CLOCK,0.0,0.0,-0.002004119355811216
CPEB1,0.0,0.0,-0.0062767313999473676
CREB1,1.3954256925183982e-42,1.486128362532094e-39,-0.00018653565991016974
CREB3,6.293874602131206e-290,6.702976451269735e-287,-0.003584768591522902
CREB3L1,0.0,0.0,-0.004661136912831376
CREB3L2,1.7410997418579685e-128,1.8542712250787365e-125,-0.002389456337168347
CREB3L4,0.9410413314392146,1.0,0.000507001601496665
CREB5,0.0,0.0,0.005864178741060239
CREBL2,0.0,0.0,0.020157310498544745
CREBZF,0.0,0.0,-0.004625442085417472
CREM,0.0,0.0,0.0026344181528547284
CRX,7.180713575731115e-262,7.647459958153637e-259,-0.001998610258803926
CTCF,0.0,0.0,-0.009532427509410663
CTCFL,0.0,0.0,-0.009418223030225159
CUX1,0.0,0.0,-0.0032766700741113756
CUX2,0.0,0.0,-0.0050727460662678995
CXXC1,0.0,0.0,-0.0033676106058836072
CXXC5,0.0,0.0,-0.003706461778691687
DBP,0.0,0.0,0.06487861415876578
DBX1,0.0,0.0,-0.0018815910339238517
DBX2,0.0,0.0,-0.002111262173338687
DLX1,7.294068873382799e-184,7.768183350152681e-181,-0.0005600357693320343
DLX2,6.860935381363945e-142,7.306896181152601e-139,-0.0004383378122095622
DLX3,1.1968034269786062e-75,1.2745956497322156e-72,-4.544447132005802e-05
DLX4,0.0,0.0,0.00260691996227232
DLX5,1.8627843250213487e-47,1.9838653061477363e-44,0.0009847824879021787
DLX6,6.100327216013929e-177,6.496848485054834e-174,-0.0007139318424455058
DMBX1,7.537000201250323e-94,8.026905214331594e-91,-0.0004062196803158759
DMRT1,0.0,0.0,-0.0025494518528129204
DMRT2,0.0,0.0,-0.0011601249174271145
DMRT3,0.0,0.0,-0.0032483553967340394
DMRTA1,0.0,0.0,0.0011353115813549455
DMRTA2,0.0,0.0,-0.004324046170703713
DMRTC2,0.0,0.0,-0.003655017996376212
DNMT1,0.0,0.0,-0.0030243231414895586
DPF1,0.0,0.0,-0.006157279875337152
DPRX,0.11445157836473725,1.0,-0.0007442295575310304
DRGX,1.0630364141146649e-16,1.1321337810321181e-13,0.00076750357068544
DUX4,0.0,0.0,-0.0013591646532102948
DUXA,0.0,0.0,-0.002696962157637347
E2F1,0.0,0.0,-0.006940163325747213
E2F2,0.0,0.0,-0.004696481012571904
E2F3,0.0,0.0,-0.006210236319577379
E2F4,0.0,0.0,-0.00384349296646095
E2F5,0.0,0.0,-0.0038273159559550386
E2F6,0.0,0.0,-0.0017881333477073463
E2F7,0.0,0.0,-0.003028420287927349
E2F8,0.0,0.0,-0.00528872012637116
EBF1,1.5287083340858348e-55,1.628074375801414e-52,0.005220924105026383
EBF2,6.803685647714939e-132,7.245925214816409e-129,0.006340069278018407
EGR1,0.0,0.0,-0.010466550953961623
EGR2,0.0,0.0,-0.008684483501733316
EGR3,0.0,0.0,-0.008473347069675733
EGR4,0.0,0.0,-0.009109304043660338
EHF,0.0,0.0,-0.010920185068272373
ELF1,0.0,0.0,-0.017555062981549963
ELF2,0.0,0.0,-0.011878511479207737
ELF3,0.0,0.0,-0.013834864554712695
ELF4,0.0,0.0,-0.01598200617463827
ELF5,0.0,0.0,-0.008192709829016723
ELK1,0.0,0.0,-0.027416288499227247
ELK3,0.0,0.0,-0.022567250946262316
ELK4,0.0,0.0,-0.019292943823043043
EMX1,4.5036898945779046e-07,0.0004796429737725468,0.0008758795477100453
EMX2,1.2476644520215788e-57,1.3287626414029813e-54,0.00026265160208089125
EN1,0.10966627528027169,1.0,0.0008660780248658864
EN2,7.438978512965327e-20,7.922512116308073e-17,0.0009947053204925347
EOMES,0.0,0.0,-0.010606934144516689
ERF,0.0,0.0,-0.01993254223619515
ERG,0.0,0.0,-0.002592634732153251
ESR1,0.0,0.0,0.005116236144392029
ESR2,0.0,0.0,0.006366118489473882
ESRRA,0.0,0.0,0.00484341363751468
ESRRB,0.0,0.0,0.005609764566168626
ESRRG,0.0,0.0,0.01230834475864337
ESX1,0.0,0.0,-0.0011222202963167317
ETS1,0.0,0.0,-0.00670018577276249
ETS2,0.0,0.0,-0.04374351634436889
ETV1,0.0,0.0,-0.012630374012090995
ETV2,0.0,0.0,-0.02017519900173191
ETV3,0.0,0.0,-0.017500310926780206
ETV3L,0.0,0.0,-0.0041517496161774595
ETV4,0.0,0.0,-0.01430735414091009
ETV5,0.0,0.0,-0.013954104769484443
ETV6,0.0,0.0,-0.013705269099542117
ETV7,0.0,0.0,-0.007755254761489444
EVX1,7.702071750815755e-173,8.20270641461878e-170,0.0023012389840632586
EVX2,2.777438223448193e-23,2.957971707972325e-20,0.001368431271846226
FBXL19,0.0,0.0,-0.002920045183489985
FERD3L,1.3304132218444032e-120,1.4168900812642893e-117,3.944099495380507e-05
FEV,0.0,0.0,-0.02463667854023814
FEZF1,0.0,0.0,-0.002265272192102219
FIGLA,6.1643818950625336e-235,6.565066718241599e-232,-0.015930186695076426
FLI1,0.0,0.0,0.01836324175718193
FOS,0.0,0.0,0.06120780469929732
FOSB,3.581611134882979e-285,3.8144158586503725e-282,0.004839540906146078
FOSL1,0.0,0.0,0.06413547319571178
FOSL2,0.0,0.0,0.060927534077243106
FOXA1,0.0,0.0,-0.006424742085052757
FOXA2,0.0,0.0,-0.0021772782243031944
FOXA3,0.0,0.0,-0.005655230793387143
FOXB1,3.731358907998221e-206,3.9738972370181053e-203,-0.0013299308024372417
FOXB2,0.0,0.0,-0.003198984057043166
FOXC1,0.0,0.0,-0.0022619472702120197
FOXC2,0.0,0.0,-0.0035474861724660435
FOXD1,0.0,0.0,-0.0067136665346633866
FOXD2,0.0,0.0,-0.0033136085185072224
FOXD3,3.096764416421034e-309,3.298054103488401e-306,-0.003136287681614825
FOXE1,0.0,0.0,-0.007478463835756136
FOXF2,0.0,0.0,-0.009602664108990633
FOXG1,0.0,0.0,-0.008250778987399492
FOXH1,0.0,0.0,0.001960529401770921
