"TF","mlog10p","Enrichment","celltype","TF_prefix","mlog10padj"
"SPIB_336",74.5243,1.43349393680735,"C1","SPIB",71.5847807473814
"SPI1_322",53.5401,1.26129698829651,"C1","SPI1",50.9016107430454
"SPIC_344",40.4009,1.35373845794193,"C1","SPIC",37.938502002101
"NR4A1_671",36.3337,1.59581499275131,"C1","NR4A1",33.9962407387093
"NR2F2_694",35.9821,1.49585060485333,"C1","NR2F2",33.7415507517174
"POU5F1B_622",29.7516,1.58529271829281,"C1","POU5F1B",27.590231997765
"NR4A2_686",29.6632,1.59903808200266,"C1","NR4A2",27.5687787873956
"POU2F1_614",29.4883,1.52512828687235,"C1","POU2F1",27.4518707343733
"POU2F3_613",28.5915,1.57047435860178,"C1","POU2F3",26.6062232568207
"RARA_675",28.0239,1.58840012989536,"C1","RARA",26.0843807473814
"POU3F4_619",26.3396,1.55497790168737,"C1","POU3F4",24.4414734325396
"POU2F2_609",25.6966,1.49910563175486,"C1","POU2F2",23.836261993429
"IRF1_629",25.4372,1.19088185183775,"C1","IRF1",23.6116240996882
"RARB_659",19.8606,1.40901077108257,"C1","RARB",18.0672087830596
"POU3F3_620",18.9268,1.37265690092463,"C1","POU3F3",17.1633720064371
"BCL11A_194",18.3374,1.18671563716891,"C1","BCL11A",16.6283296687597
"BCL11B_825",18.3374,1.18671563716891,"C1","BCL11B",16.6283296687597
"ESRRA_691",17.4939,1.45104407784283,"C1","ESRRA",15.8096532524847
"STAT2_778",17.1952,1.18928412203655,"C1","STAT2",15.5344343483342
"ESRRG_697",16.4343,1.44429760230827,"C1","ESRRG",14.7958107430454
"NR2C1_670",15.8683,1.39305106109758,"C1","NR2C1",14.2510000421153
"NR2E1_665",15.4076,1.2995782567221,"C1","NR2E1",13.8105034282036
"ARID3A_6",13.3186,1.16266368110385,"C1","ARID3A",11.740808583399
"NR4A3_668",13.2489,1.337613803754,"C1","NR4A3",11.689591989093
"ELF5_334",13.0255,1.27259159179026,"C1","ELF5",11.4839207560534
"ZNF35_239",12.4465,1.22955667472807,"C1","ZNF35",10.9383445115404
"FOXL1_369",12.4581,1.39437532944517,"C1","FOXL1",10.9383445115404
"NR2E3_657",12.2941,1.23302389910978,"C1","NR2E3",10.8017387787236
"NR2F1_692",12.261,1.34719920470864,"C1","NR2F1",10.7838787452803
"IRF8_633",11.7346,1.30745025484898,"C1","IRF8",10.272202002101
"FOXJ3_378",11.0801,1.26235017088266,"C1","FOXJ3",9.63194244121565
"FOXS1_372",10.8668,1.26603055859651,"C1","FOXS1",9.43243072570129
"ESRRB_669",10.7481,1.3604684591692,"C1","ESRRB",9.32709468725927
