Method,Metric,Dataset,Value
XChrom,auROC,h_pbmc,0.7
XChrom,auROC,m_brain,0.8
XChrom,auROC,h_brain,0.8
XChrom,auROC,h_gonads,0.79
XChrom,auROC,m_palates,0.8
XChrom,per cell auROC,h_pbmc,0.64
XChrom,per cell auROC,m_brain,0.74
XChrom,per cell auROC,h_brain,0.73
XChrom,per cell auROC,h_gonads,0.73
XChrom,per cell auROC,m_palates,0.69
XChrom,per peak auROC,h_pbmc,0.66
XChrom,per peak auROC,m_brain,0.73
XChrom,per peak auROC,h_brain,0.76
XChrom,per peak auROC,h_gonads,0.69
XChrom,per peak auROC,m_palates,0.75
XChrom,auPRC,h_pbmc,0.38
XChrom,auPRC,m_brain,0.44
XChrom,auPRC,h_brain,0.46
XChrom,auPRC,h_gonads,0.21
XChrom,auPRC,m_palates,0.41
XChrom,per cell auPRC,h_pbmc,0.33
XChrom,per cell auPRC,m_brain,0.34
XChrom,per cell auPRC,h_brain,0.31
XChrom,per cell auPRC,h_gonads,0.15
XChrom,per cell auPRC,m_palates,0.27
XChrom,per peak auPRC,h_pbmc,0.31
XChrom,per peak auPRC,m_brain,0.29
XChrom,per peak auPRC,h_brain,0.38
XChrom,per peak auPRC,h_gonads,0.12
XChrom,per peak auPRC,m_palates,0.29
scBasset,auROC,h_pbmc,0.69
scBasset,auROC,m_brain,0.8
scBasset,auROC,h_brain,0.8
scBasset,auROC,h_gonads,0.79
scBasset,auROC,m_palates,0.8
scBasset,per cell auROC,h_pbmc,0.63
scBasset,per cell auROC,m_brain,0.74
scBasset,per cell auROC,h_brain,0.73
scBasset,per cell auROC,h_gonads,0.73
scBasset,per cell auROC,m_palates,0.7
scBasset,per peak auROC,h_pbmc,0.66
scBasset,per peak auROC,m_brain,0.73
scBasset,per peak auROC,h_brain,0.76
scBasset,per peak auROC,h_gonads,0.69
scBasset,per peak auROC,m_palates,0.76
scBasset,auPRC,h_pbmc,0.36
scBasset,auPRC,m_brain,0.44
scBasset,auPRC,h_brain,0.47
scBasset,auPRC,h_gonads,0.22
scBasset,auPRC,m_palates,0.41
scBasset,per cell auPRC,h_pbmc,0.31
scBasset,per cell auPRC,m_brain,0.34
scBasset,per cell auPRC,h_brain,0.33
scBasset,per cell auPRC,h_gonads,0.15
scBasset,per cell auPRC,m_palates,0.28
scBasset,per peak auPRC,h_pbmc,0.3
scBasset,per peak auPRC,m_brain,0.3
scBasset,per peak auPRC,h_brain,0.38
scBasset,per peak auPRC,h_gonads,0.12
scBasset,per peak auPRC,m_palates,0.3
