Method,Metric,Dataset,Value
raw_atac,ns(100),m_brain,0.27
raw_atac,ns(100),h_brain,0.23
raw_atac,ns(100),h_gonads,0.07
raw_atac,ns(100),m_palates,0.13
raw_atac,ns(50),m_brain,0.21
raw_atac,ns(50),h_brain,0.16
raw_atac,ns(50),h_gonads,0.05
raw_atac,ns(50),m_palates,0.09
raw_atac,ns(10),m_brain,0.1
raw_atac,ns(10),h_brain,0.06
raw_atac,ns(10),h_gonads,0.02
raw_atac,ns(10),m_palates,0.04
raw_atac,ls(100),m_brain,0.55
raw_atac,ls(100),h_brain,0.43
raw_atac,ls(100),h_gonads,0.46
raw_atac,ls(100),m_palates,0.42
raw_atac,ls(50),m_brain,0.6
raw_atac,ls(50),h_brain,0.46
raw_atac,ls(50),h_gonads,0.48
raw_atac,ls(50),m_palates,0.44
raw_atac,ls(10),m_brain,0.67
raw_atac,ls(10),h_brain,0.49
raw_atac,ls(10),h_gonads,0.53
raw_atac,ls(10),m_palates,0.49
raw_atac,ls(10),h_pbmc,0.82
raw_atac,ls(100),h_pbmc,0.75
raw_atac,ls(50),h_pbmc,0.78
raw_atac,ns(10),h_pbmc,0.06
raw_atac,ns(100),h_pbmc,0.28
raw_atac,ns(50),h_pbmc,0.18
scBasset,ls(10),h_pbmc,0.9
scBasset,ls(100),h_pbmc,0.84
scBasset,ls(50),h_pbmc,0.86
scBasset,ns(10),h_pbmc,0.09
scBasset,ns(100),h_pbmc,0.34
scBasset,ns(50),h_pbmc,0.24
scBasset,ns(100),m_brain,0.42
scBasset,ns(100),h_brain,0.26
scBasset,ns(100),h_gonads,0.16
scBasset,ns(100),m_palates,0.2
scBasset,ns(50),m_brain,0.35
scBasset,ns(50),h_brain,0.18
scBasset,ns(50),h_gonads,0.11
scBasset,ns(50),m_palates,0.15
scBasset,ns(10),m_brain,0.19
scBasset,ns(10),h_brain,0.07
scBasset,ns(10),h_gonads,0.04
scBasset,ns(10),m_palates,0.07
scBasset,ls(100),m_brain,0.69
scBasset,ls(100),h_brain,0.48
scBasset,ls(100),h_gonads,0.69
scBasset,ls(100),m_palates,0.51
scBasset,ls(50),m_brain,0.74
scBasset,ls(50),h_brain,0.51
scBasset,ls(50),h_gonads,0.71
scBasset,ls(50),m_palates,0.53
scBasset,ls(10),m_brain,0.79
scBasset,ls(10),h_brain,0.54
scBasset,ls(10),h_gonads,0.74
scBasset,ls(10),m_palates,0.57
XChrom,ls(10),h_pbmc,0.92
XChrom,ls(100),h_pbmc,0.88
XChrom,ls(50),h_pbmc,0.9
XChrom,ns(10),h_pbmc,0.12
XChrom,ns(100),h_pbmc,0.39
XChrom,ns(50),h_pbmc,0.28
XChrom,ns(100),m_brain,0.52
XChrom,ns(100),h_brain,0.29
XChrom,ns(100),h_gonads,0.29
XChrom,ns(100),m_palates,0.37
XChrom,ns(50),m_brain,0.45
XChrom,ns(50),h_brain,0.2
XChrom,ns(50),h_gonads,0.23
XChrom,ns(50),m_palates,0.32
XChrom,ns(10),m_brain,0.29
XChrom,ns(10),h_brain,0.09
XChrom,ns(10),h_gonads,0.12
XChrom,ns(10),m_palates,0.2
XChrom,ls(100),m_brain,0.76
XChrom,ls(100),h_brain,0.5
XChrom,ls(100),h_gonads,0.8
XChrom,ls(100),m_palates,0.61
XChrom,ls(50),m_brain,0.8
XChrom,ls(50),h_brain,0.53
XChrom,ls(50),h_gonads,0.82
XChrom,ls(50),m_palates,0.65
XChrom,ls(10),m_brain,0.86
XChrom,ls(10),h_brain,0.58
XChrom,ls(10),h_gonads,0.85
XChrom,ls(10),m_palates,0.72
