Method,Metric,Dataset,Value
raw_atac,ns(100),h_pbmc,0.29
raw_atac,ns(100),m_brain,0.26
raw_atac,ns(100),h_brain,0.22
raw_atac,ns(100),h_gonads,0.07
raw_atac,ns(100),m_palates,0.12
raw_atac,ns(50),h_pbmc,0.19
raw_atac,ns(50),m_brain,0.2
raw_atac,ns(50),h_brain,0.15
raw_atac,ns(50),h_gonads,0.04
raw_atac,ns(50),m_palates,0.09
raw_atac,ns(10),h_pbmc,0.05
raw_atac,ns(10),m_brain,0.09
raw_atac,ns(10),h_brain,0.06
raw_atac,ns(10),h_gonads,0.01
raw_atac,ns(10),m_palates,0.04
raw_atac,ls(100),h_pbmc,0.76
raw_atac,ls(100),m_brain,0.53
raw_atac,ls(100),h_brain,0.43
raw_atac,ls(100),h_gonads,0.44
raw_atac,ls(100),m_palates,0.41
raw_atac,ls(50),h_pbmc,0.79
raw_atac,ls(50),m_brain,0.58
raw_atac,ls(50),h_brain,0.46
raw_atac,ls(50),h_gonads,0.46
raw_atac,ls(50),m_palates,0.44
raw_atac,ls(10),h_pbmc,0.83
raw_atac,ls(10),m_brain,0.66
raw_atac,ls(10),h_brain,0.48
raw_atac,ls(10),h_gonads,0.51
raw_atac,ls(10),m_palates,0.49
Seurat,ns(100),h_pbmc,0.28
Seurat,ns(100),m_brain,0.33
Seurat,ns(100),h_brain,0.23
Seurat,ns(100),h_gonads,0.11
Seurat,ns(100),m_palates,0.19
Seurat,ns(50),h_pbmc,0.18
Seurat,ns(50),m_brain,0.27
Seurat,ns(50),h_brain,0.15
Seurat,ns(50),h_gonads,0.09
Seurat,ns(50),m_palates,0.16
Seurat,ns(10),h_pbmc,0.07
Seurat,ns(10),m_brain,0.15
Seurat,ns(10),h_brain,0.07
Seurat,ns(10),h_gonads,0.07
Seurat,ns(10),m_palates,0.12
Seurat,ls(100),h_pbmc,0.71
Seurat,ls(100),m_brain,0.66
Seurat,ls(100),h_brain,0.46
Seurat,ls(100),h_gonads,0.61
Seurat,ls(100),m_palates,0.52
Seurat,ls(50),h_pbmc,0.77
Seurat,ls(50),m_brain,0.74
Seurat,ls(50),h_brain,0.51
Seurat,ls(50),h_gonads,0.68
