Metric,Dataset,Scenario,Value
ns(100),s1d2,raw_atac,0.16
ns(100),s2d1,raw_atac,0.17
ns(100),s2d4,raw_atac,0.14
ns(100),s4d1,raw_atac,0.2
ns(100),s3d10,raw_atac,0.18
ns(100),s1d2,intra,0.29
ns(100),s2d1,intra,0.36
ns(100),s2d4,intra,0.31
ns(100),s4d1,intra,0.3
ns(100),s3d10,intra,0.38
ns(100),s1d2,inter,0.24
ns(100),s2d1,inter,0.34
ns(100),s2d4,inter,0.25
ns(100),s4d1,inter,0.23
ns(100),s3d10,inter,0.25
ns(50),s1d2,raw_atac,0.11
ns(50),s2d1,raw_atac,0.11
ns(50),s2d4,raw_atac,0.09
ns(50),s4d1,raw_atac,0.12
ns(50),s3d10,raw_atac,0.11
ns(50),s1d2,intra,0.23
ns(50),s2d1,intra,0.27
ns(50),s2d4,intra,0.22
ns(50),s4d1,intra,0.2
ns(50),s3d10,intra,0.28
ns(50),s1d2,inter,0.18
ns(50),s2d1,inter,0.25
ns(50),s2d4,inter,0.17
ns(50),s4d1,inter,0.15
ns(50),s3d10,inter,0.18
ns(10),s1d2,raw_atac,0.04
ns(10),s2d1,raw_atac,0.04
ns(10),s2d4,raw_atac,0.03
ns(10),s4d1,raw_atac,0.04
ns(10),s3d10,raw_atac,0.04
ns(10),s1d2,intra,0.1
ns(10),s2d1,intra,0.13
ns(10),s2d4,intra,0.1
ns(10),s4d1,intra,0.08
ns(10),s3d10,intra,0.13
ns(10),s1d2,inter,0.08
ns(10),s2d1,inter,0.11
ns(10),s2d4,inter,0.06
ns(10),s4d1,inter,0.05
ns(10),s3d10,inter,0.08
ls(100),s1d2,raw_atac,0.66
ls(100),s2d1,raw_atac,0.55
ls(100),s2d4,raw_atac,0.67
ls(100),s4d1,raw_atac,0.8
ls(100),s3d10,raw_atac,0.63
ls(100),s1d2,intra,0.72
ls(100),s2d1,intra,0.78
ls(100),s2d4,intra,0.84
ls(100),s4d1,intra,0.81
ls(100),s3d10,intra,0.8
ls(100),s1d2,inter,0.69
ls(100),s2d1,inter,0.77
ls(100),s2d4,inter,0.77
ls(100),s4d1,inter,0.73
ls(100),s3d10,inter,0.66
ls(50),s1d2,raw_atac,0.69
ls(50),s2d1,raw_atac,0.58
ls(50),s2d4,raw_atac,0.7
ls(50),s4d1,raw_atac,0.83
ls(50),s3d10,raw_atac,0.66
ls(50),s1d2,intra,0.75
ls(50),s2d1,intra,0.81
ls(50),s2d4,intra,0.86
ls(50),s4d1,intra,0.83
ls(50),s3d10,intra,0.83
ls(50),s1d2,inter,0.73
ls(50),s2d1,inter,0.8
ls(50),s2d4,inter,0.79
ls(50),s4d1,inter,0.76
ls(50),s3d10,inter,0.7
ls(10),s1d2,raw_atac,0.74
ls(10),s2d1,raw_atac,0.65
ls(10),s2d4,raw_atac,0.74
ls(10),s4d1,raw_atac,0.86
ls(10),s3d10,raw_atac,0.7
ls(10),s1d2,intra,0.79
ls(10),s2d1,intra,0.85
ls(10),s2d4,intra,0.87
ls(10),s4d1,intra,0.84
ls(10),s3d10,intra,0.86
ls(10),s1d2,inter,0.77
ls(10),s2d1,inter,0.85
ls(10),s2d4,inter,0.84
ls(10),s4d1,inter,0.8
ls(10),s3d10,inter,0.75
