Metric,Model,Species,Samples,Value
auROC,human_model,human,m1d1,0.75
per cell auROC,human_model,human,m1d1,0.69
per peak auROC,human_model,human,m1d1,0.69
auPRC,human_model,human,m1d1,0.36
per cell auPRC,human_model,human,m1d1,0.28
per peak auPRC,human_model,human,m1d1,0.25
auROC,human_model,human,m1d2,0.74
per cell auROC,human_model,human,m1d2,0.68
per peak auROC,human_model,human,m1d2,0.68
auPRC,human_model,human,m1d2,0.34
per cell auPRC,human_model,human,m1d2,0.26
per peak auPRC,human_model,human,m1d2,0.24
auROC,human_model,human,m1d2n,0.77
per cell auROC,human_model,human,m1d2n,0.68
per peak auROC,human_model,human,m1d2n,0.73
auPRC,human_model,human,m1d2n,0.32
per cell auPRC,human_model,human,m1d2n,0.23
per peak auPRC,human_model,human,m1d2n,0.23
auROC,human_model,human,m1d3n,0.75
per cell auROC,human_model,human,m1d3n,0.68
per peak auROC,human_model,human,m1d3n,0.69
auPRC,human_model,human,m1d3n,0.32
per cell auPRC,human_model,human,m1d3n,0.24
per peak auPRC,human_model,human,m1d3n,0.24
auROC,mouse_model,mouse,mop2c1,0.83
per cell auROC,mouse_model,mouse,mop2c1,0.76
per peak auROC,mouse_model,mouse,mop2c1,0.79
auPRC,mouse_model,mouse,mop2c1,0.45
per cell auPRC,mouse_model,mouse,mop2c1,0.33
per peak auPRC,mouse_model,mouse,mop2c1,0.3
auROC,mouse_model,mouse,mop2c2,0.84
per cell auROC,mouse_model,mouse,mop2c2,0.74
per peak auROC,mouse_model,mouse,mop2c2,0.81
auPRC,mouse_model,mouse,mop2c2,0.43
per cell auPRC,mouse_model,mouse,mop2c2,0.28
per peak auPRC,mouse_model,mouse,mop2c2,0.33
auROC,mouse_model,mouse,mop3c1,0.79
per cell auROC,mouse_model,mouse,mop3c1,0.7
per peak auROC,mouse_model,mouse,mop3c1,0.74
auPRC,mouse_model,mouse,mop3c1,0.37
per cell auPRC,mouse_model,mouse,mop3c1,0.27
per peak auPRC,mouse_model,mouse,mop3c1,0.26
auROC,mouse_model,mouse,mop4b1,0.8
per cell auROC,mouse_model,mouse,mop4b1,0.72
per peak auROC,mouse_model,mouse,mop4b1,0.74
auPRC,mouse_model,mouse,mop4b1,0.41
per cell auPRC,mouse_model,mouse,mop4b1,0.31
per peak auPRC,mouse_model,mouse,mop4b1,0.29
auROC,mouse_model,mouse,mop4b2,0.84
per cell auROC,mouse_model,mouse,mop4b2,0.76
per peak auROC,mouse_model,mouse,mop4b2,0.79
auPRC,mouse_model,mouse,mop4b2,0.43
per cell auPRC,mouse_model,mouse,mop4b2,0.31
per peak auPRC,mouse_model,mouse,mop4b2,0.3
auROC,mouse_model,mouse,mop5d1,0.83
per cell auROC,mouse_model,mouse,mop5d1,0.76
per peak auROC,mouse_model,mouse,mop5d1,0.79
auPRC,mouse_model,mouse,mop5d1,0.46
