Metric,Model,Species,Samples,Value
ns(100),human_model,human,m1d1,0.22
ns(50),human_model,human,m1d1,0.16
ns(10),human_model,human,m1d1,0.07
ls(100),human_model,human,m1d1,0.81
ls(50),human_model,human,m1d1,0.84
ls(10),human_model,human,m1d1,0.88
ns(100),human_model,human,m1d2,0.19
ns(50),human_model,human,m1d2,0.13
ns(10),human_model,human,m1d2,0.05
ls(100),human_model,human,m1d2,0.84
ls(50),human_model,human,m1d2,0.86
ls(10),human_model,human,m1d2,0.9
ns(100),human_model,human,m1d2n,0.24
ns(50),human_model,human,m1d2n,0.16
ns(10),human_model,human,m1d2n,0.06
ls(100),human_model,human,m1d2n,0.75
ls(50),human_model,human,m1d2n,0.77
ls(10),human_model,human,m1d2n,0.8
ns(100),human_model,human,m1d3n,0.5
ns(50),human_model,human,m1d3n,0.39
ns(10),human_model,human,m1d3n,0.17
ls(100),human_model,human,m1d3n,0.8
ls(50),human_model,human,m1d3n,0.87
ls(10),human_model,human,m1d3n,0.93
ns(100),mouse_model,mouse,mop2c1,0.34
ns(50),mouse_model,mouse,mop2c1,0.21
ns(10),mouse_model,mouse,mop2c1,0.07
ls(100),mouse_model,mouse,mop2c1,0.84
ls(50),mouse_model,mouse,mop2c1,0.87
ls(10),mouse_model,mouse,mop2c1,0.9
ns(100),mouse_model,mouse,mop2c2,0.22
ns(50),mouse_model,mouse,mop2c2,0.14
ns(10),mouse_model,mouse,mop2c2,0.05
ls(100),mouse_model,mouse,mop2c2,0.82
ls(50),mouse_model,mouse,mop2c2,0.83
ls(10),mouse_model,mouse,mop2c2,0.85
ns(100),mouse_model,mouse,mop3c1,0.36
ns(50),mouse_model,mouse,mop3c1,0.25
ns(10),mouse_model,mouse,mop3c1,0.09
ls(100),mouse_model,mouse,mop3c1,0.76
ls(50),mouse_model,mouse,mop3c1,0.8
ls(10),mouse_model,mouse,mop3c1,0.84
ns(100),mouse_model,mouse,mop4b1,0.48
ns(50),mouse_model,mouse,mop4b1,0.37
ns(10),mouse_model,mouse,mop4b1,0.13
ls(100),mouse_model,mouse,mop4b1,0.7
ls(50),mouse_model,mouse,mop4b1,0.78
ls(10),mouse_model,mouse,mop4b1,0.83
ns(100),mouse_model,mouse,mop4b2,0.27
ns(50),mouse_model,mouse,mop4b2,0.18
ns(10),mouse_model,mouse,mop4b2,0.06
ls(100),mouse_model,mouse,mop4b2,0.89
ls(50),mouse_model,mouse,mop4b2,0.9
ls(10),mouse_model,mouse,mop4b2,0.92
ns(100),mouse_model,mouse,mop5d1,0.22
ns(50),mouse_model,mouse,mop5d1,0.14
ns(10),mouse_model,mouse,mop5d1,0.05
ls(100),mouse_model,mouse,mop5d1,0.86
ls(50),mouse_model,mouse,mop5d1,0.86
ls(10),mouse_model,mouse,mop5d1,0.88
ns(100),mouse_model,mouse,mop5d2,0.37
ns(50),mouse_model,mouse,mop5d2,0.25
ns(10),mouse_model,mouse,mop5d2,0.09
ls(100),mouse_model,mouse,mop5d2,0.8
ls(50),mouse_model,mouse,mop5d2,0.83
ls(10),mouse_model,mouse,mop5d2,0.85
ns(100),human_model,mouse,mop2c1,0.3
ns(50),human_model,mouse,mop2c1,0.19
ns(10),human_model,mouse,mop2c1,0.06
ls(100),human_model,mouse,mop2c1,0.79
ls(50),human_model,mouse,mop2c1,0.82
ls(10),human_model,mouse,mop2c1,0.86
ns(100),human_model,mouse,mop2c2,0.2
ns(50),human_model,mouse,mop2c2,0.12
ns(10),human_model,mouse,mop2c2,0.04
ls(100),human_model,mouse,mop2c2,0.78
ls(50),human_model,mouse,mop2c2,0.8
ls(10),human_model,mouse,mop2c2,0.83
ns(100),human_model,mouse,mop3c1,0.28
ns(50),human_model,mouse,mop3c1,0.19
ns(10),human_model,mouse,mop3c1,0.06
ls(100),human_model,mouse,mop3c1,0.68
ls(50),human_model,mouse,mop3c1,0.71
ls(10),human_model,mouse,mop3c1,0.75
ns(100),human_model,mouse,mop3c2,0.24
ns(50),human_model,mouse,mop3c2,0.15
ns(10),human_model,mouse,mop3c2,0.05
ls(100),human_model,mouse,mop3c2,0.8
ls(50),human_model,mouse,mop3c2,0.82
ls(10),human_model,mouse,mop3c2,0.85
ns(100),human_model,mouse,mop4b1,0.37
ns(50),human_model,mouse,mop4b1,0.28
ns(10),human_model,mouse,mop4b1,0.1
ls(100),human_model,mouse,mop4b1,0.62
ls(50),human_model,mouse,mop4b1,0.67
ls(10),human_model,mouse,mop4b1,0.73
ns(100),human_model,mouse,mop4b2,0.2
ns(50),human_model,mouse,mop4b2,0.12
ns(10),human_model,mouse,mop4b2,0.04
ls(100),human_model,mouse,mop4b2,0.79
ls(50),human_model,mouse,mop4b2,0.81
ls(10),human_model,mouse,mop4b2,0.84
ns(100),human_model,mouse,mop5d1,0.16
ns(50),human_model,mouse,mop5d1,0.1
ns(10),human_model,mouse,mop5d1,0.04
ls(100),human_model,mouse,mop5d1,0.76
ls(50),human_model,mouse,mop5d1,0.78
ls(10),human_model,mouse,mop5d1,0.8
ns(100),human_model,mouse,mop5d2,0.28
ns(50),human_model,mouse,mop5d2,0.19
ns(10),human_model,mouse,mop5d2,0.06
ls(100),human_model,mouse,mop5d2,0.71
ls(50),human_model,mouse,mop5d2,0.75
ls(10),human_model,mouse,mop5d2,0.78
ns(100),mouse_model,human,m1d1,0.22
ns(50),mouse_model,human,m1d1,0.16
ns(10),mouse_model,human,m1d1,0.06
ls(100),mouse_model,human,m1d1,0.85
ls(50),mouse_model,human,m1d1,0.88
ls(10),mouse_model,human,m1d1,0.91
ns(100),mouse_model,human,m1d1n,0.16
ns(50),mouse_model,human,m1d1n,0.11
ns(10),mouse_model,human,m1d1n,0.04
ls(100),mouse_model,human,m1d1n,0.71
ls(50),mouse_model,human,m1d1n,0.74
ls(10),mouse_model,human,m1d1n,0.78
ns(100),mouse_model,human,m1d2,0.19
ns(50),mouse_model,human,m1d2,0.12
ns(10),mouse_model,human,m1d2,0.05
ls(100),mouse_model,human,m1d2,0.88
ls(50),mouse_model,human,m1d2,0.89
ls(10),mouse_model,human,m1d2,0.92
ns(100),mouse_model,human,m1d2n,0.18
ns(50),mouse_model,human,m1d2n,0.13
ns(10),mouse_model,human,m1d2n,0.05
ls(100),mouse_model,human,m1d2n,0.67
ls(50),mouse_model,human,m1d2n,0.71
ls(10),mouse_model,human,m1d2n,0.76
ns(100),mouse_model,human,m1d3n,0.41
ns(50),mouse_model,human,m1d3n,0.35
ns(10),mouse_model,human,m1d3n,0.15
ls(100),mouse_model,human,m1d3n,0.71
ls(50),mouse_model,human,m1d3n,0.8
ls(10),mouse_model,human,m1d3n,0.89
ns(100),raw_atac,human,m1d1,0.18
ns(50),raw_atac,human,m1d1,0.11
ns(10),raw_atac,human,m1d1,0.03
ls(100),raw_atac,human,m1d1,0.8
ls(50),raw_atac,human,m1d1,0.82
ls(10),raw_atac,human,m1d1,0.85
ns(100),raw_atac,human,m1d2,0.12
ns(50),raw_atac,human,m1d2,0.07
ns(10),raw_atac,human,m1d2,0.02
ls(100),raw_atac,human,m1d2,0.78
ls(50),raw_atac,human,m1d2,0.79
ls(10),raw_atac,human,m1d2,0.82
ns(100),raw_atac,human,m1d2n,0.24
ns(50),raw_atac,human,m1d2n,0.17
ns(10),raw_atac,human,m1d2n,0.07
ls(100),raw_atac,human,m1d2n,0.74
ls(50),raw_atac,human,m1d2n,0.77
ls(10),raw_atac,human,m1d2n,0.81
ns(100),raw_atac,human,m1d3n,0.34
ns(50),raw_atac,human,m1d3n,0.24
ns(10),raw_atac,human,m1d3n,0.08
ls(100),raw_atac,human,m1d3n,0.66
ls(50),raw_atac,human,m1d3n,0.71
ls(10),raw_atac,human,m1d3n,0.77
ns(100),raw_atac,mouse,mop2c1,0.29
ns(50),raw_atac,mouse,mop2c1,0.19
ns(10),raw_atac,mouse,mop2c1,0.07
ls(100),raw_atac,mouse,mop2c1,0.8
ls(50),raw_atac,mouse,mop2c1,0.83
ls(10),raw_atac,mouse,mop2c1,0.87
ns(100),raw_atac,mouse,mop2c2,0.19
ns(50),raw_atac,mouse,mop2c2,0.12
ns(10),raw_atac,mouse,mop2c2,0.05
ls(100),raw_atac,mouse,mop2c2,0.76
ls(50),raw_atac,mouse,mop2c2,0.79
ls(10),raw_atac,mouse,mop2c2,0.82
ns(100),raw_atac,mouse,mop3c1,0.28
ns(50),raw_atac,mouse,mop3c1,0.19
ns(10),raw_atac,mouse,mop3c1,0.07
ls(100),raw_atac,mouse,mop3c1,0.65
ls(50),raw_atac,mouse,mop3c1,0.69
ls(10),raw_atac,mouse,mop3c1,0.75
ns(100),raw_atac,mouse,mop3c2,0.28
ns(50),raw_atac,mouse,mop3c2,0.18
ns(10),raw_atac,mouse,mop3c2,0.07
ls(100),raw_atac,mouse,mop3c2,0.82
ls(50),raw_atac,mouse,mop3c2,0.86
