"ensembl_gene_id","external_gene_name","cjacchus_homolog_ensembl_gene","cjacchus_homolog_associated_gene_name","cjacchus_homolog_orthology_type","mmusculus_homolog_ensembl_gene","mmusculus_homolog_associated_gene_name","mmusculus_homolog_orthology_type","mmulatta_homolog_ensembl_gene","mmulatta_homolog_associated_gene_name","mmulatta_homolog_orthology_type"
"ENSG00000000457","SCYL3","ENSCJAG00000010050","SCYL3","ortholog_one2one","ENSMUSG00000026584","Scyl3","ortholog_one2one","ENSMMUG00000016583","SCYL3","ortholog_one2one"
"ENSG00000000460","FIRRM","ENSCJAG00000010088","FIRRM","ortholog_one2one","ENSMUSG00000041406","Firrm","ortholog_one2one","ENSMMUG00000016582","FIRRM","ortholog_one2one"
"ENSG00000001460","STPG1","ENSCJAG00000020857","STPG1","ortholog_one2one","ENSMUSG00000028801","Stpg1","ortholog_one2one","ENSMMUG00000054255","STPG1","ortholog_one2one"
"ENSG00000001461","NIPAL3","ENSCJAG00000020848","NIPAL3","ortholog_one2one","ENSMUSG00000028803","Nipal3","ortholog_one2one","ENSMMUG00000004466","NIPAL3","ortholog_one2one"
"ENSG00000002549","LAP3","ENSCJAG00000012680","LAP3","ortholog_one2one","ENSMUSG00000039682","Lap3","ortholog_one2one","ENSMMUG00000005732","LAP3","ortholog_one2one"
"ENSG00000002587","HS3ST1","ENSCJAG00000012119","HS3ST1","ortholog_one2one","ENSMUSG00000051022","Hs3st1","ortholog_one2one","ENSMMUG00000001341","HS3ST1","ortholog_one2one"
"ENSG00000003393","ALS2","ENSCJAG00000004769","ALS2","ortholog_one2one","ENSMUSG00000026024","Als2","ortholog_one2one","ENSMMUG00000018155","ALS2","ortholog_one2one"
"ENSG00000003509","NDUFAF7","ENSCJAG00000003932","NDUFAF7","ortholog_one2one","ENSMUSG00000024082","Ndufaf7","ortholog_one2one","ENSMMUG00000016434","NDUFAF7","ortholog_one2one"
"ENSG00000003756","RBM5","ENSCJAG00000004740","RBM5","ortholog_one2one","ENSMUSG00000032580","Rbm5","ortholog_one2one","ENSMMUG00000004921","RBM5","ortholog_one2one"
"ENSG00000004399","PLXND1","ENSCJAG00000005429","PLXND1","ortholog_one2one","ENSMUSG00000030123","Plxnd1","ortholog_one2one","ENSMMUG00000012737","PLXND1","ortholog_one2one"
